29
         229690 function calls (226275 primitive calls) in 1.378 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.004    0.004    1.380    1.380 ferminode.py:1(<module>)
        1    0.000    0.000    0.876    0.876 libferminode.py:268(surfaceplot)
        1    0.001    0.001    0.608    0.608 function_base.py:1842(__call__)
        1    0.009    0.009    0.607    0.607 function_base.py:1924(_vectorize_call)
    10001    0.251    0.000    0.597    0.000 libferminode.py:263(<lambda>)
        1    0.003    0.003    0.405    0.405 libferminode.py:1(<module>)
        1    0.001    0.001    0.324    0.324 pylab.py:1(<module>)
    20276    0.199    0.000    0.199    0.000 {numpy.core._dotblas.dot}
    11921    0.169    0.000    0.174    0.000 {numpy.core.multiarray.array}
        1    0.004    0.004    0.165    0.165 __init__.py:99(<module>)
        1    0.001    0.001    0.158    0.158 pylab.py:215(<module>)
        1    0.000    0.000    0.143    0.143 pyplot.py:2192(contour)
        1    0.001    0.001    0.141    0.141 rcsetup.py:14(<module>)
        1    0.004    0.004    0.139    0.139 mpl.py:1(<module>)
        6    0.000    0.000    0.129    0.022 pyplot.py:684(gca)
        1    0.000    0.000    0.122    0.122 pyplot.py:469(savefig)
        1    0.000    0.000    0.122    0.122 figure.py:1091(savefig)
        1    0.000    0.000    0.122    0.122 backend_bases.py:1925(print_figure)
        1    0.001    0.001    0.118    0.118 backend_bases.py:1824(print_png)
        1    0.001    0.001    0.115    0.115 colors.py:50(<module>)
        1    0.000    0.000    0.115    0.115 backend_agg.py:487(print_png)
        6    0.004    0.001    0.098    0.016 __init__.py:1(<module>)
        1    0.002    0.002    0.092    0.092 __init__.py:106(<module>)
        6    0.000    0.000    0.086    0.014 figure.py:1044(gca)
        1    0.000    0.000    0.086    0.086 figure.py:722(add_subplot)
        1    0.000    0.000    0.086    0.086 axes.py:8478(__init__)
        1    0.000    0.000    0.086    0.086 axes.py:358(__init__)
        1    0.004    0.004    0.082    0.082 axis.py:3(<module>)
      3/2    0.001    0.000    0.070    0.035 {__import__}
