29
         562568 function calls (559153 primitive calls) in 10.362 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   10.364   10.364 ferminode.py:1(<module>)
        1    0.000    0.000    9.243    9.243 libferminode.py:263(surfaceplot)
        1    0.069    0.069    8.983    8.983 libferminode.py:60(wfgridcreator)
    10000    0.695    0.000    8.914    0.001 libferminode.py:257(eff_wavefunction)
   290000    7.843    0.000    7.843    0.000 libferminode.py:20(result)
        1    0.001    0.001    0.700    0.700 libferminode.py:161(__init__)
        1    0.032    0.032    0.696    0.696 libferminode.py:215(precompute_det)
    23548    0.640    0.000    0.640    0.000 libferminode.py:216(phi2D)
        1    0.003    0.003    0.395    0.395 libferminode.py:1(<module>)
    10000    0.057    0.000    0.364    0.000 fromnumeric.py:1422(sum)
        1    0.001    0.001    0.316    0.316 pylab.py:1(<module>)
    10000    0.017    0.000    0.295    0.000 _methods.py:16(_sum)
    10990    0.288    0.000    0.288    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.004    0.004    0.161    0.161 __init__.py:99(<module>)
        1    0.002    0.002    0.154    0.154 pylab.py:215(<module>)
        1    0.000    0.000    0.142    0.142 pyplot.py:2192(contour)
        1    0.001    0.001    0.139    0.139 rcsetup.py:14(<module>)
        1    0.005    0.005    0.136    0.136 mpl.py:1(<module>)
        6    0.000    0.000    0.134    0.022 pyplot.py:684(gca)
        1    0.000    0.000    0.116    0.116 pyplot.py:469(savefig)
        1    0.000    0.000    0.116    0.116 figure.py:1091(savefig)
        1    0.000    0.000    0.116    0.116 backend_bases.py:1925(print_figure)
        1    0.001    0.001    0.114    0.114 colors.py:50(<module>)
        1    0.001    0.001    0.112    0.112 backend_bases.py:1824(print_png)
        1    0.000    0.000    0.109    0.109 backend_agg.py:487(print_png)
        6    0.004    0.001    0.097    0.016 __init__.py:1(<module>)
        1    0.002    0.002    0.091    0.091 __init__.py:106(<module>)
        6    0.000    0.000    0.091    0.015 figure.py:1044(gca)
        1    0.000    0.000    0.090    0.090 figure.py:722(add_subplot)
        1    0.000    0.000    0.090    0.090 axes.py:8478(__init__)
        1    0.000    0.000    0.090    0.090 axes.py:358(__init__)
        1    0.004    0.004    0.082    0.082 axis.py:3(<module>)
    40/32    0.001    0.000    0.072    0.002 axis.py:62(__init__)
      3/2    0.001    0.000    0.069    0.034 {__import__}
      292    0.001    0.000    0.066    0.000 re.py:226(_compile)
       87    0.001    0.000    0.064    0.001 sre_compile.py:495(compile)
        1    0.064    0.064    0.064    0.064 {built-in method write_png}
       88    0.000    0.000    0.064    0.001 re.py:188(compile)
        1    0.000    0.000    0.061    0.061 axes.py:837(cla)
    16/12    0.000    0.000    0.060    0.005 axis.py:708(cla)
    16/12    0.000    0.000    0.059    0.005 axis.py:743(reset_ticks)
        1    0.001    0.001    0.054    0.054 pkg_resources.py:14(<module>)
      121    0.004    0.000    0.052    0.000 lines.py:128(__init__)
        1    0.000    0.000    0.045    0.045 backend_agg.py:422(draw)
     61/1    0.000    0.000    0.043    0.043 artist.py:53(draw_wrapper)
        1    0.000    0.000    0.043    0.043 figure.py:828(draw)
        7    0.000    0.000    0.043    0.006 pyplot.py:363(gcf)
        1    0.000    0.000    0.043    0.043 pyplot.py:247(figure)
        1    0.003    0.003    0.043    0.043 backend_macosx.py:235(new_figure_manager)
        1    0.000    0.000    0.042    0.042 axes.py:1885(draw)
      544    0.004    0.000    0.041    0.000 markers.py:116(_recache)
        1    0.000    0.000    0.040    0.040 add_newdocs.py:9(<module>)
        1    0.004    0.004    0.040    0.040 axes.py:1(<module>)
    20/16    0.000    0.000    0.037    0.002 axis.py:1814(_get_tick)
    20/16    0.000    0.000    0.035    0.002 axis.py:1554(_get_tick)
        1    0.001    0.001    0.034    0.034 patches.py:3(<module>)
        2    0.000    0.000    0.033    0.016 axis.py:1040(draw)
        1    0.002    0.002    0.033    0.033 __init__.py:15(<module>)
       87    0.000    0.000    0.032    0.000 sre_compile.py:480(_code)
