number of electrons 5
[[ 1.01279911  0.32329498]
 [ 1.1709741   1.20945125]
 [ 1.4161607   0.68041347]
 [ 1.10698975  1.34744279]]
         251990 function calls (248557 primitive calls) in 1.442 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    1.444    1.444 ferminode.py:1(<module>)
        1    0.000    0.000    0.948    0.948 libferminode.py:271(surfaceplot)
        1    0.001    0.001    0.615    0.615 function_base.py:1842(__call__)
        1    0.009    0.009    0.614    0.614 function_base.py:1924(_vectorize_call)
    10001    0.038    0.000    0.603    0.000 libferminode.py:263(<lambda>)
    10001    0.231    0.000    0.420    0.000 libferminode.py:20(result)
        1    0.002    0.002    0.274    0.274 libferminode.py:1(<module>)
    20256    0.214    0.000    0.214    0.000 {numpy.core._dotblas.dot}
        1    0.000    0.000    0.213    0.213 pyplot.py:2192(contour)
        7    0.000    0.000    0.202    0.029 pyplot.py:684(gca)
        1    0.000    0.000    0.181    0.181 pylab.py:1(<module>)
        1    0.001    0.001    0.181    0.181 pylab.py:215(<module>)
        1    0.004    0.004    0.174    0.174 __init__.py:99(<module>)
        1    0.001    0.001    0.151    0.151 rcsetup.py:14(<module>)
        1    0.005    0.005    0.140    0.140 mpl.py:1(<module>)
    11796    0.135    0.000    0.138    0.000 {numpy.core.multiarray.array}
        1    0.002    0.002    0.121    0.121 colors.py:50(<module>)
        1    0.000    0.000    0.116    0.116 pyplot.py:469(savefig)
        1    0.000    0.000    0.116    0.116 figure.py:1091(savefig)
        1    0.000    0.000    0.116    0.116 backend_bases.py:1925(print_figure)
        6    0.005    0.001    0.113    0.019 __init__.py:1(<module>)
        1    0.000    0.000    0.112    0.112 backend_agg.py:487(print_png)
        8    0.000    0.000    0.111    0.014 pyplot.py:363(gcf)
        1    0.000    0.000    0.111    0.111 pyplot.py:247(figure)
        1    0.000    0.000    0.111    0.111 backend_tkagg.py:73(new_figure_manager)
      3/2    0.004    0.001    0.105    0.052 {__import__}
        1    0.003    0.003    0.097    0.097 __init__.py:106(<module>)
        7    0.000    0.000    0.091    0.013 figure.py:1044(gca)
        1    0.000    0.000    0.091    0.091 figure.py:722(add_subplot)
        1    0.000    0.000    0.091    0.091 axes.py:8478(__init__)
        1    0.000    0.000    0.090    0.090 axes.py:358(__init__)
        1    0.000    0.000    0.089    0.089 Tkinter.py:1665(__init__)
        1    0.088    0.088    0.088    0.088 {_tkinter.create}
        1    0.004    0.004    0.084    0.084 axis.py:3(<module>)
        1    0.001    0.001    0.076    0.076 pyqm.py:7(<module>)
    40/32    0.001    0.000    0.072    0.002 axis.py:62(__init__)
      304    0.002    0.000    0.068    0.000 re.py:226(_compile)
       87    0.001    0.000    0.066    0.001 sre_compile.py:495(compile)
       88    0.000    0.000    0.066    0.001 re.py:188(compile)
        1    0.000    0.000    0.066    0.066 axes.py:837(cla)
        1    0.066    0.066    0.066    0.066 {built-in method write_png}
        1    0.001    0.001    0.064    0.064 pkg_resources.py:14(<module>)
    16/12    0.000    0.000    0.058    0.005 axis.py:708(cla)
    16/12    0.000    0.000    0.057    0.005 axis.py:743(reset_ticks)
      122    0.004    0.000    0.051    0.000 lines.py:128(__init__)
        1    0.000    0.000    0.046    0.046 backend_agg.py:422(draw)
     62/1    0.000    0.000    0.044    0.044 artist.py:53(draw_wrapper)
        1    0.000    0.000    0.044    0.044 figure.py:828(draw)
        1    0.000    0.000    0.043    0.043 add_newdocs.py:9(<module>)
        1    0.000    0.000    0.043    0.043 axes.py:1885(draw)
        1    0.004    0.004    0.042    0.042 axes.py:1(<module>)
      548    0.004    0.000    0.040    0.000 markers.py:116(_recache)
        1    0.001    0.001    0.040    0.040 pyplot.py:15(<module>)
    20/16    0.000    0.000    0.037    0.002 axis.py:1554(_get_tick)
        1    0.000    0.000    0.037    0.037 __init__.py:14(pylab_setup)
        1    0.004    0.004    0.037    0.037 backend_tkagg.py:3(<module>)
    20/16    0.000    0.000    0.035    0.002 axis.py:1814(_get_tick)
        1    0.001    0.001    0.034    0.034 patches.py:3(<module>)
        2    0.000    0.000    0.034    0.017 axis.py:1040(draw)
       87    0.000    0.000    0.034    0.000 sre_compile.py:480(_code)
        1    0.003    0.003    0.033    0.033 __init__.py:15(<module>)
       87    0.001    0.000    0.032    0.000 sre_parse.py:663(parse)
       75    0.000    0.000    0.031    0.000 {map}
        1    0.000    0.000    0.031    0.031 pkg_resources.py:724(Environment)
        1    0.000    0.000    0.031    0.031 pkg_resources.py:93(get_supported_platform)
   300/87    0.002    0.000    0.031    0.000 sre_parse.py:301(_parse_sub)
   404/94    0.011    0.000    0.030    0.000 sre_parse.py:379(_parse)
        3    0.009    0.003    0.030    0.010 __init__.py:2(<module>)
        6    0.001    0.000    0.029    0.005 patches.py:1530(_pprint_styles)
        4    0.000    0.000    0.029    0.007 spines.py:153(cla)
        2    0.000    0.000    0.029    0.014 axis.py:841(set_clip_path)
        1    0.001    0.001    0.029    0.029 fontconfig_pattern.py:7(<module>)
        1    0.000    0.000    0.028    0.028 patches.py:1624(BoxStyle)
        1    0.027    0.027    0.027    0.027 Tkinter.py:31(<module>)
        1    0.001    0.001    0.027    0.027 inspect.py:25(<module>)
        1    0.002    0.002    0.026    0.026 animation.py:20(<module>)
        1    0.000    0.000    0.025    0.025 type_check.py:3(<module>)
   786/87    0.008    0.000    0.025    0.000 sre_compile.py:32(_compile)
        1    0.002    0.002    0.024    0.024 pyparsing_py2.py:59(<module>)
      274    0.001    0.000    0.024    0.000 markers.py:151(set_marker)
        4    0.000    0.000    0.023    0.006 animation.py:45(wrapper)
        1    0.000    0.000    0.023    0.023 axes.py:499(_init_axis)
        4    0.000    0.000    0.023    0.006 axis.py:1194(get_major_ticks)
        4    0.001    0.000    0.023    0.006 animation.py:228(isAvailable)
      682    0.009    0.000    0.023    0.000 path.py:87(__init__)
        4    0.001    0.000    0.022    0.005 subprocess.py:619(__init__)
        1    0.003    0.003    0.021    0.021 cbook.py:4(<module>)
        1    0.001    0.001    0.021    0.021 tokenize.py:23(<module>)
      274    0.000    0.000    0.020    0.000 markers.py:136(set_fillstyle)
        4    0.001    0.000    0.020    0.005 subprocess.py:1111(_execute_child)
       11    0.000    0.000    0.019    0.002 artist.py:1212(kwdoc)
        1    0.000    0.000    0.019    0.019 pkg_resources.py:238(get_build_platform)
      152    0.000    0.000    0.019    0.000 markers.py:111(__init__)
        1    0.000    0.000    0.019    0.019 libferminode.py:159(__init__)
       53    0.018    0.000    0.018    0.000 {built-in method call}
        1    0.000    0.000    0.017    0.017 backend_tkagg.py:453(__init__)
        1    0.000    0.000    0.017    0.017 backend_tkagg.py:730(__init__)
        1    0.000    0.000    0.017    0.017 backend_bases.py:2448(__init__)
        1    0.000    0.000    0.017    0.017 util.py:16(get_platform)
       10    0.000    0.000    0.017    0.002 axis.py:224(draw)
        1    0.000    0.000    0.017    0.017 backend_tkagg.py:774(_init_toolbar)
        7    0.000    0.000    0.017    0.002 backend_tkagg.py:765(_Button)
        1    0.001    0.001    0.016    0.016 text.py:3(<module>)
        3    0.000    0.000    0.016    0.005 sysconfig.py:497(get_config_vars)
        1    0.000    0.000    0.016    0.016 sysconfig.py:397(_init_posix)
       34    0.000    0.000    0.016    0.000 pkg_resources.py:438(add_entry)
       10    0.000    0.000    0.016    0.002 Tkinter.py:1959(__init__)
  168/128    0.001    0.000    0.016    0.000 spines.py:372(get_spine_transform)
        1    0.000    0.000    0.015    0.015 libferminode.py:214(precompute_det)
        7    0.000    0.000    0.015    0.002 Tkinter.py:2025(__init__)
  176/128    0.000    0.000    0.015    0.000 spines.py:136(_ensure_position_is_set)
        8    0.000    0.000    0.015    0.002 spines.py:325(set_position)
        1    0.002    0.002    0.015    0.015 urllib2.py:76(<module>)
        4    0.000    0.000    0.014    0.004 subprocess.py:475(_eintr_retry_call)
        4    0.014    0.004    0.014    0.004 {posix.read}
      284    0.001    0.000    0.014    0.000 sre_compile.py:178(_compile_charset)
        4    0.000    0.000    0.014    0.003 spines.py:142(register_axis)
      122    0.000    0.000    0.013    0.000 lines.py:751(set_marker)
       15    0.001    0.000    0.013    0.001 text.py:510(draw)
       74    0.002    0.000    0.013    0.000 pkg_resources.py:1733(find_on_path)
    20/18    0.000    0.000    0.013    0.001 axis.py:377(_get_tick1line)
    20/18    0.000    0.000    0.013    0.001 axis.py:392(_get_tick2line)
    20/18    0.000    0.000    0.013    0.001 axis.py:515(_get_tick1line)
       11    0.001    0.000    0.013    0.001 artist.py:929(pprint_setters)
      284    0.008    0.000    0.013    0.000 sre_compile.py:207(_optimize_charset)
        1    0.002    0.002    0.012    0.012 font_manager.py:21(<module>)
       22    0.001    0.000    0.012    0.001 lines.py:464(draw)
    20/18    0.000    0.000    0.012    0.001 axis.py:531(_get_tick2line)
      229    0.001    0.000    0.012    0.000 transforms.py:1616(scale)
        1    0.001    0.001    0.012    0.012 pkg_resources.py:218(_macosx_vers)
    80/69    0.002    0.000    0.012    0.000 posixpath.py:355(realpath)
       23    0.002    0.000    0.012    0.001 text.py:260(_get_layout)
      122    0.000    0.000    0.012    0.000 lines.py:306(set_fillstyle)
        1    0.003    0.003    0.012    0.012 sysconfig.py:287(parse_makefile)
        1    0.001    0.001    0.011    0.011 scale.py:1(<module>)
        5    0.001    0.000    0.011    0.002 common.py:63(factorial)
        1    0.002    0.002    0.011    0.011 backend_bases.py:28(<module>)
        3    0.002    0.001    0.010    0.003 __init__.py:6(<module>)
