7.95792231126e-206
         7394535 function calls (7386676 primitive calls) in 143.555 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.117    0.117  143.558  143.558 ferminode.py:1(<module>)
    10000    5.882    0.001  124.655    0.012 ferminode.py:36(psi)
  5760000  114.826    0.000  114.826    0.000 ferminode.py:24(result)
        1    0.000    0.000   17.063   17.063 pyplot.py:124(show)
        1    0.000    0.000   17.063   17.063 backend_bases.py:68(__call__)
        1    0.000    0.000   16.709   16.709 backend_macosx.py:24(mainloop)
        1   16.669   16.669   16.709   16.709 {matplotlib.backends._macosx.show}
    35808    2.585    0.000    2.585    0.000 {numpy.core.multiarray.array}
    272/4    0.002    0.000    0.914    0.229 artist.py:53(draw_wrapper)
        4    0.001    0.000    0.914    0.229 figure.py:816(draw)
        2    0.000    0.000    0.743    0.371 pyplot.py:469(savefig)
        2    0.000    0.000    0.743    0.371 figure.py:1078(savefig)
        2    0.000    0.000    0.743    0.371 backend_bases.py:1902(print_figure)
        2    0.000    0.000    0.736    0.368 backend_bases.py:1801(print_png)
        2    0.000    0.000    0.734    0.367 backend_agg.py:459(print_png)
    10000    0.097    0.000    0.684    0.000 linalg.py:1643(det)
        2    0.002    0.001    0.643    0.321 axes3d.py:175(draw)
        2    0.000    0.000    0.596    0.298 backend_agg.py:402(draw)
    10000    0.112    0.000    0.588    0.000 linalg.py:1561(slogdet)
        1    0.018    0.018    0.544    0.544 pyqm.py:7(<module>)
        6    0.003    0.000    0.537    0.089 axis3d.py:196(draw)
        1    0.002    0.002    0.522    0.522 pylab.py:1(<module>)
    10001    0.270    0.000    0.494    0.000 common.py:42(factorial)
       80    0.004    0.000    0.487    0.006 text.py:510(draw)
       88    0.008    0.000    0.469    0.005 text.py:260(_get_layout)
        4    0.000    0.000    0.421    0.105 mathtext.py:2944(parse)
       68    0.001    0.000    0.419    0.006 backend_agg.py:165(get_text_width_height_descent)
        1    0.001    0.001    0.374    0.374 mathtext.py:2127(__init__)
       13    0.129    0.010    0.358    0.028 pyparsing_py2.py:3276(oneOf)
        2    0.032    0.016    0.354    0.177 {method 'show' of '_macosx.FigureManager' objects}
        1    0.024    0.024    0.325    0.325 __init__.py:99(<module>)
        4    0.000    0.000    0.294    0.074 axes.py:1883(draw)
       86    0.004    0.000    0.244    0.003 lines.py:464(draw)
        1    0.001    0.001    0.231    0.231 rcsetup.py:14(<module>)
   250510    0.221    0.000    0.221    0.000 {range}
        1    0.002    0.002    0.195    0.195 pylab.py:215(<module>)
        1    0.002    0.002    0.179    0.179 colors.py:50(<module>)
       22    0.000    0.000    0.179    0.008 backend_macosx.py:55(draw_markers)
       22    0.179    0.008    0.179    0.008 {method 'draw_markers' of '_macosx.GraphicsContext' objects}
    10005    0.043    0.000    0.178    0.000 defmatrix.py:233(__new__)
        1    0.007    0.007    0.171    0.171 mpl.py:1(<module>)
        1    0.001    0.001    0.164    0.164 pyqm.py:99(plot2Dwavefunction)
    10007    0.161    0.000    0.161    0.000 {numpy.core.multiarray.where}
      196    0.002    0.000    0.157    0.001 re.py:228(_compile)
       79    0.000    0.000    0.156    0.002 re.py:188(compile)
       77    0.001    0.000    0.155    0.002 sre_compile.py:495(compile)
        1    0.004    0.004    0.149    0.149 __init__.py:106(<module>)
    23909    0.029    0.000    0.144    0.000 numeric.py:168(asarray)
        2    0.000    0.000    0.137    0.068 axes.py:358(__init__)
        2    0.137    0.068    0.137    0.068 {built-in method write_png}
    10000    0.131    0.000    0.131    0.000 {numpy.linalg.lapack_lite.dgetrf}
   184143    0.071    0.000    0.120    0.000 pyparsing_py2.py:3294(<lambda>)
    71/63    0.002    0.000    0.111    0.002 axis.py:62(__init__)
        1    0.005    0.005    0.106    0.106 axis.py:3(<module>)
    10001    0.027    0.000    0.105    0.000 linalg.py:139(_fastCopyAndTranspose)
       14    0.011    0.001    0.103    0.007 __init__.py:1(<module>)
       32    0.000    0.000    0.101    0.003 pyparsing_py2.py:1809(__init__)
        1    0.006    0.006    0.099    0.099 __init__.py:126(<module>)
        2    0.000    0.000    0.093    0.047 axes.py:837(cla)
        1    0.001    0.001    0.087    0.087 add_newdocs.py:9(<module>)
        2    0.000    0.000    0.085    0.043 pyplot.py:2455(plot)
    51/47    0.000    0.000    0.080    0.002 axis.py:1548(_get_tick)
        6    0.000    0.000    0.080    0.013 pyplot.py:684(gca)
